categoria_de_la_mutuacion,nombre,dificultad,efecto,costo(PM),probabilidad _de_tocar(peso),restricciones
Exclusivas de Mob,new_spells_3,dificil,"Puede invocar un ""Muro de Espectros"", una barrera de 5x3 de fantasmas que bloquea el paso y daña a los jugadores que la toquen. Dura 6 segundos.",24,6,Restricción de Mob: Evocador. Tiene un cooldown interno de 15 segundos.
Exclusivas de Mob,night_prowler_1,debil,"Durante la noche, su velocidad de movimiento aumenta en un 15%.",4,70,Restricción de Mob: Zorro.
Exclusivas de Mob,night_prowler_2,intermedio,"Durante la noche, sus ataques tienen un 10% de probabilidad de aplicar Ceguera por 2 segundos.",8,45,Restricción de Mob: Zorro.
Exclusivas de Mob,night_prowler_3,dificil,"Durante la noche, puede volverse invisible mientras está quieto en la oscuridad (nivel de luz inferior a 5). La invisibilidad se rompe al moverse o atacar.",13,20,Restricción de Mob: Zorro.
Exclusivas de Mob,nimble_dodger_1,debil,Tiene un 15% de probabilidad pasiva de esquivar proyectiles (flechas).,6,60,Restricción de Mob: Zorro.
Exclusivas de Mob,nimble_dodger_2,intermedio,"Puede realizar un ""Paso Lateral"" rápido para esquivar un ataque cuerpo a cuerpo.",11,30,Restricción de Mob: Zorro. Tiene un cooldown interno de 7 segundos.
Exclusivas de Mob,nimble_dodger_3,dificil,"Al ser golpeado, tiene un 20% de probabilidad de dejar una ""Imagen Residual"" (un clon ilusorio que desaparece al instante) y teletransportarse 3 bloques detrás del atacante.",17,12,Restricción de Mob: Zorro. Tiene un cooldown interno de 10 segundos.
Exclusivas de Mob,no_distractions_1,debil,No se distrae con el oro que haya en el suelo.,3,75,Restricción de Mob: Piglin Bruto.
Exclusivas de Mob,no_distractions_2,intermedio,"Si un jugador lanza un lingote de oro cerca, el Bruto lo destruirá con un pisotón y se enfurecerá, ganando Velocidad I por 5 segundos.",8,45,Restricción de Mob: Piglin Bruto.
Exclusivas de Mob,no_distractions_3,dificil,"Emite un ""Aura de Disciplina"" (radio de 10 bloques) que impide que los Piglins normales cercanos se distraigan con el oro.",14,18,Restricción de Mob: Piglin Bruto.
Exclusivas de Mob,object_manipulation_1,debil,Sus Cargas de Viento pueden abrir/cerrar puertas y pulsar botones de madera.,4,70,Restricción de Mob: Breeze.
Exclusivas de Mob,object_manipulation_2,intermedio,Sus Cargas de Viento pueden arrancar un objeto de la mano de un jugador si impactan directamente.,10,35,Restricción de Mob: Breeze. Incompatible con disarm_1.
Exclusivas de Mob,object_manipulation_3,dificil,"Puede ""Arrancar"" un bloque del entorno (tierra, piedra) y lanzárselo al jugador como un proyectil que inflige 5 de daño.",17,12,Restricción de Mob: Breeze. Tiene un cooldown interno de 8 segundos.
Exclusivas de Mob,obstructing_spit_1,debil,Su escupitajo aplica Náuseas I durante 4 segundos.,5,65,Restricción de Mob: Llama.
Exclusivas de Mob,obstructing_spit_2,intermedio,"Su escupitajo aplica ""Visión Borrosa"" (similar al efecto de tener una calabaza en la cabeza) durante 3 segundos.",9,38,Restricción de Mob: Llama.
Exclusivas de Mob,obstructing_spit_3,dificil,"Su escupitajo aplica ""Sello de Consumible"" por 5 segundos, impidiendo que el jugador pueda comer o beber pociones.",15,18,Restricción de Mob: Llama. Incompatible con punishing_curse_2.
Exclusivas de Mob,oceans_wrath_1,debil,No sufre la penalización de velocidad de movimiento durante la lluvia.,3,75,Restricción de Mob: Ahogado.
Exclusivas de Mob,oceans_wrath_2,intermedio,Puede invocar una columna de burbujas descendente bajo los pies del jugador para arrastrarlo hacia el fondo.,8,45,Restricción de Mob: Ahogado. Tiene un cooldown interno de 8 segundos.
Exclusivas de Mob,oceans_wrath_3,dificil,"Durante una tormenta, su tridente (incluso sin el encantamiento) tiene un 15% de probabilidad de invocar un rayo al impactar a un jugador.",14,18,Restricción de Mob: Ahogado.
Exclusivas de Mob,overgrown_core_1,debil,Las enredaderas en su cuerpo le otorgan una regeneración de salud pasiva muy lenta (1 de vida cada 5s).,5,65,Restricción de Mob: Golem de Hierro.
Exclusivas de Mob,overgrown_core_2,intermedio,"Su Pisotón Pesado ahora también hace brotar ""Enredaderas de Espinas"" del suelo, que inmovilizan y dañan a los jugadores que las toquen.",12,30,Restricción de Mob: Golem de Hierro.
Exclusivas de Mob,overgrown_core_3,dificil,"Al morir, su cuerpo se desmorona en un ""Jardín Corrupto"". Un área de 5x5 se cubre de rosales de Wither y enredaderas que aplican Veneno I.",20,10,Restricción de Mob: Golem de Hierro. Incompatible con otras mutaciones On-Death.
Exclusivas de Mob,overwhelming_force_1,debil,Sus ataques cuerpo a cuerpo infligen un 25% más de daño a los escudos.,8,50,Restricción de Mob: Warden.
Exclusivas de Mob,overwhelming_force_2,intermedio,"Sus ataques cuerpo a cuerpo ahora aplican ""Fractura"", un efecto que reduce la efectividad de la armadura del jugador en un 30% durante 6 segundos.",15,22,Restricción de Mob: Warden.
Exclusivas de Mob,overwhelming_force_3,dificil,"Puede realizar un ""Golpe Aterrador"". Es un ataque cuerpo a cuerpo que, si impacta, inflige un 75% de su daño normal y aplica el efecto de Miedo, invirtiendo los controles del jugador por 2.5 segundos.",25,6,Restricción de Mob: Warden. Tiene un cooldown interno de 12 segundos.
Exclusivas de Mob,pack_flanking_1,debil,El lobo intentará moverse hacia los lados del jugador en lugar de atacarlo siempre de frente.,6,60,Restricción de Mob: Lobo.
Exclusivas de Mob,pack_flanking_2,intermedio,"Si otro lobo está atacando al jugador, este lobo intentará activamente posicionarse en la espalda del jugador. Los ataques por la espalda tienen un 10% de probabilidad de ser críticos.",11,30,Restricción de Mob: Lobo.
Exclusivas de Mob,pack_flanking_3,dificil,"Puede realizar un ""Ataque de Distracción"". Es un mordisco rápido que no inflige daño pero obliga al jugador a girar su cámara hacia el lobo, dejándolo vulnerable a otros ataques.",17,12,Restricción de Mob: Lobo. Tiene un cooldown interno de 10 segundos.
Exclusivas de Mob,pack_howl_1,debil,"Puede aullar, otorgando a todos los lobos aliados en un radio de 15 bloques Velocidad I durante 4 segundos.",5,65,Restricción de Mob: Lobo. Tiene un cooldown interno de 15 segundos.
Exclusivas de Mob,pack_howl_2,intermedio,Su aullido ahora otorga Velocidad I y un 10% de velocidad de ataque durante 6 segundos.,10,35,Restricción de Mob: Lobo. Tiene un cooldown interno de 15 segundos.
Exclusivas de Mob,pack_howl_3,dificil,"Su aullido se convierte en un ""Grito de Caza"", otorgando Velocidad I, Fuerza I y Regeneración I a los aliados durante 5 segundos.",16,15,Restricción de Mob: Lobo. Tiene un cooldown interno de 20 segundos.
Exclusivas de Mob,peekaboo_shot_1,debil,Reduce el tiempo que necesita para abrirse y disparar en un 25%.,6,60,Restricción de Mob: Shulker.
Exclusivas de Mob,peekaboo_shot_2,intermedio,"Puede abrirse ligeramente para disparar, exponiendo un área de impacto mucho más pequeña.",12,30,Restricción de Mob: Shulker.
Exclusivas de Mob,peekaboo_shot_3,dificil,Puede disparar un proyectil a través de un pequeño portal dimensional sin tener que abrir su concha en absoluto.,20,9,Restricción de Mob: Shulker. Tiene un cooldown interno de 10 segundos.
Exclusivas de Mob,permafrost_trail_1,debil,El rastro de nieve que deja dura el doble de tiempo y no se derrite con la luz.,4,70,Restricción de Mob: Golem de Nieve.
Exclusivas de Mob,permafrost_trail_2,intermedio,"Su rastro de nieve ahora es ""Nieve en Polvo"", ralentizando y potencialmente atrapando a los jugadores que lo pisen.",9,38,Restricción de Mob: Golem de Nieve.
Exclusivas de Mob,permafrost_trail_3,dificil,"Puede realizar un ""Pisotón Helado"", convirtiendo un área de 3x3 de suelo a su alrededor en Hielo Compacto, haciendo la zona resbaladiza.",15,18,Restricción de Mob: Golem de Nieve. Tiene un cooldown interno de 10 segundos.
Exclusivas de Mob,phantom_menace_1,debil,Es un 15% más pequeño y más difícil de golpear.,5,65,Restricción de Mob: Vex.
Exclusivas de Mob,phantom_menace_2,intermedio,"Al ser golpeado, tiene un 25% de probabilidad de volverse invisible durante 2 segundos.",10,35,Restricción de Mob: Vex.
Exclusivas de Mob,phantom_menace_3,dificil,"Puede crear 1-2 ""Clones Espectrales"" de sí mismo. Los clones tienen 1 de vida y no infligen daño, pero imitan sus movimientos para confundir al jugador.",16,15,Restricción de Mob: Vex. Tiene un cooldown interno de 12 segundos.
Exclusivas de Mob,phantom_shroud_1,debil,Es un 25% más difícil de ver en la oscuridad de la noche.,4,70,Restricción de Mob: Fantasma.
Exclusivas de Mob,phantom_shroud_2,intermedio,"Al ser golpeado por un proyectil, tiene un 25% de probabilidad de volverse invisible durante 3 segundos.",10,35,Restricción de Mob: Fantasma.
Exclusivas de Mob,phantom_shroud_3,dificil,"Puede ""Desvanecerse"" en una nube de niebla, volviéndose invulnerable por 2 segundos para reposicionarse en el aire.",17,12,Restricción de Mob: Fantasma. Tiene un cooldown interno de 12 segundos.
Exclusivas de Mob,pillagers_resolve_1,debil,Es inmune a los efectos de miedo (ej. de cabras).,4,70,Restricción de Mob: Saqueador.
Exclusivas de Mob,pillagers_resolve_2,intermedio,"Si es el último Illager que queda en un radio de 20 bloques, su velocidad de recarga aumenta en un 30%.",9,38,Restricción de Mob: Saqueador.
Exclusivas de Mob,pillagers_resolve_3,dificil,"Si el Capitán de la Patrulla muere cerca, este Saqueador entra en un estado de ""Furia Vengativa"", ganando Fuerza I y recargando su ballesta un 50% más rápido durante 10 segundos.",15,18,Restricción de Mob: Saqueador.
Exclusivas de Mob,playful_menace_1,debil,El delfín puede empujar bloques de arena o grava cercanos para intentar que caigan sobre el jugador si este se encuentra debajo.,5,65,Restricción de Mob: Delfín.
Exclusivas de Mob,playful_menace_2,intermedio,"El delfín puede recoger un objeto caído del fondo del mar (arena, algas) y lanzárselo al jugador, aplicando Ceguera por 1 segundo.",10,35,Restricción de Mob: Delfín.
Exclusivas de Mob,playful_menace_3,dificil,"Si el jugador tiene un Tridente, el delfín se enfurece, ganando un 25% de velocidad de movimiento y priorizando atacar a ese jugador por encima de cualquier otro.",16,15,Restricción de Mob: Delfín.
Exclusivas de Mob,pod_hunter_1,debil,"El delfín puede ""marcar"" a un jugador. Otros delfines hostiles en un radio de 20 bloques priorizarán atacar al objetivo marcado.",5,65,Restricción de Mob: Delfín.
Exclusivas de Mob,pod_hunter_2,intermedio,"Por cada otro delfín hostil en un radio de 15 bloques, este delfín gana un 10% de velocidad de ataque.",10,35,Restricción de Mob: Delfín.
Exclusivas de Mob,pod_hunter_3,dificil,"Al morir, emite un chillido que otorga a todos los demás delfines hostiles en un radio de 25 bloques Fuerza I y Velocidad I durante 8 segundos.",16,15,Restricción de Mob: Delfín. Incompatible con otras mutaciones On-Death.
Exclusivas de Mob,poison_barrage_1,debil,"Su cadencia de fuego es un 25% más lenta, pero sus flechas siempre aplican Veneno I.",6,60,Restricción de Mob: Bogged.
Exclusivas de Mob,poison_barrage_2,intermedio,"Puede disparar una ""Flecha de Esporas"". Al impactar, crea una nube de 3x3 de partículas de esporas que aplica Veneno I a quienes entren en ella. Dura 5 segundos.",12,30,Restricción de Mob: Bogged. Tiene un cooldown interno de 8 segundos.
Exclusivas de Mob,poison_barrage_3,dificil,"Puede realizar una ""Descarga Tóxica"", disparando 3 flechas envenenadas en una rápida sucesión.",19,10,Restricción de Mob: Bogged. Tiene un cooldown interno de 12 segundos.
Exclusivas de Mob,potent_toxins_1,debil,Sus flechas aplican Veneno I durante 7 segundos en lugar de 4.,5,65,Restricción de Mob: Bogged.
Exclusivas de Mob,potent_toxins_2,intermedio,Sus flechas tienen un 20% de probabilidad de aplicar Veneno II durante 4 segundos.,11,32,Restricción de Mob: Bogged.
Exclusivas de Mob,potent_toxins_3,dificil,"Sus flechas tienen un 15% de probabilidad de aplicar ""Veneno Necrótico"", un efecto que inflige Veneno I y reduce la curación recibida por el jugador en un 50% mientras dure.",18,14,Restricción de Mob: Bogged. Incompatible con mortal_wound_.
Exclusivas de Mob,potion_synergy_1,debil,"Si un jugador cercano está bajo el efecto de una poción negativa, la bruja se mueve un 15% más rápido.",6,60,Restricción de Mob: Bruja.
Exclusivas de Mob,potion_synergy_2,intermedio,"Puede ""Sifonear Magia"". Si golpea a un jugador con una poción, tiene un 20% de probabilidad de robarle un efecto positivo aleatorio, aplicándoselo a sí misma.",12,30,Restricción de Mob: Bruja. Incompatible con essence_siphon_.
Exclusivas de Mob,potion_synergy_3,dificil,"Puede lanzar una ""Poción de Inversión"". Si impacta a un jugador con un efecto positivo (ej. Fuerza), lo convierte en su contraparte negativa (Debilidad) por 6 segundos.",20,9,Restricción de Mob: Bruja. Tiene un cooldown interno de 12 segundos.
Exclusivas de Mob,pounce_attack_1,debil,Su ataque en salto inflige 2 puntos de daño adicional.,4,70,Restricción de Mob: Zorro.
Exclusivas de Mob,pounce_attack_2,intermedio,"Su ataque en salto ahora también aplica ""Desequilibrio"", causando una fuerte sacudida de cámara al objetivo.",8,40,Restricción de Mob: Zorro.
Exclusivas de Mob,pounce_attack_3,dificil,"Su ataque en salto se convierte en un ""Golpe Fugaz"". Tras impactar, el zorro realiza un segundo salto instantáneo de 5 bloques hacia atrás, poniéndose a salvo.",13,20,Restricción de Mob: Zorro.
Exclusivas de Mob,primal_fear_1,debil,"Hoglin: Su miedo a los hongos distorsionados se reduce, permitiéndole acercarse más antes de huir. Zoglin: Es inmune a este miedo.",3,75,Restricción de Mob: Hoglin/Zoglin.
Exclusivas de Mob,primal_fear_2,intermedio,"Puede rugir, causando que los animales pequeños (pollos, conejos) y los Piglins cercanos huyan aterrorizados.",8,45,Restricción de Mob: Hoglin/Zoglin.
Exclusivas de Mob,primal_fear_3,dificil,"Su rugido ahora aplica ""Miedo"" a los jugadores en un radio de 8 bloques, causando que su visión se vuelva borrosa y sus controles se inviertan brevemente (1.5s).",14,18,Restricción de Mob: Hoglin/Zoglin. Incompatible con unstable_hit_3.
Exclusivas de Mob,prismarine_shard_armor_1,debil,Tiene 6 puntos de armadura natural.,7,55,Restricción de Mob: Guardián.
Exclusivas de Mob,prismarine_shard_armor_2,intermedio,"Al ser golpeado, tiene un 20% de probabilidad de que un fragmento de prismarina se desprenda, reflejando un 25% del daño al atacante.",13,28,Restricción de Mob: Guardián.
Exclusivas de Mob,prismarine_shard_armor_3,dificil,"Al morir, su cuerpo explota en una ""Metralla de Prismarina"", lanzando fragmentos afilados que infligen 5 de daño en un radio de 4 bloques.",21,7,Restricción de Mob: Guardián. Incompatible con otras mutaciones On-Death.
Exclusivas de Mob,psionic_influence_1,debil,Su efecto de Fatiga de Minero ahora también aplica Lentitud I.,8,50,Restricción de Mob: Guardián Anciano.
Exclusivas de Mob,psionic_influence_2,intermedio,"Su influencia psiónica ahora también causa ""Alucinaciones Acuáticas"", haciendo que el jugador vea Guardianes ilusorios e inofensivos.",15,22,Restricción de Mob: Guardián Anciano.
Exclusivas de Mob,psionic_influence_3,dificil,"Su influencia se convierte en una ""Maldición del Abismo"". Además de la Fatiga de Minero III, los jugadores no pueden usar cubos de agua, esponjas ni respirar de las columnas de burbujas.",24,6,Restricción de Mob: Guardián Anciano.
Exclusivas de Mob,rapid_fire_1,debil,Aumenta su velocidad de disparo en un 20%.,6,60,Restricción de Mob: Golem de Nieve.
Exclusivas de Mob,rapid_fire_2,intermedio,"Puede entrar en modo ""Ráfaga"", disparando 3 bolas de nieve en una sucesión rápida.",11,30,Restricción de Mob: Golem de Nieve. Tiene un cooldown interno de 6 segundos.
Exclusivas de Mob,rapid_fire_3,dificil,"Su modo Ráfaga ahora dispara 5 bolas de nieve y la última de ellas es un ""Fragmento de Hielo"" (ver frostbite_snowball_3).",17,12,Restricción de Mob: Golem de Nieve.
Exclusivas de Mob,reality_warp_1,debil,Emite un aura pasiva que causa una leve distorsión visual (similar al portal del Nether) en toda la isla.,9,50,Restricción de Mob: Dragón del End.
Exclusivas de Mob,reality_warp_2,intermedio,"Periódicamente, suelta un rugido que enfurece a todos los Endermen de la isla, volviéndolos hostiles hacia todos los jugadores durante 10 segundos.",16,22,Restricción de Mob: Dragón del End.
Exclusivas de Mob,reality_warp_3,dificil,"Su presencia ""desestabiliza"" la dimensión. Las Perlas de Ender tienen un 25% de probabilidad de fallar, teletransportando al jugador a una ubicación aleatoria y peligrosa en la isla.",25,6,Restricción de Mob: Dragón del End.
Exclusivas de Mob,reinforced_shell_1,debil,Su concha tiene 8 puntos de armadura adicionales cuando está cerrada.,5,65,Restricción de Mob: Shulker.
Exclusivas de Mob,reinforced_shell_2,intermedio,"Al ser golpeado en la concha, tiene un 20% de probabilidad de reflejar el 33% del daño recibido al atacante.",11,32,Restricción de Mob: Shulker.
Exclusivas de Mob,reinforced_shell_3,dificil,"Al abrir o cerrar su concha, libera una ""Onda de Choque Cinética"" que empuja a las entidades en un radio de 5 bloques y destruye los proyectiles cercanos.",18,14,Restricción de Mob: Shulker.
Exclusivas de Mob,relentless_charge_1,debil,Su velocidad de carrera (cuando levanta el hacha) es un 20% mayor.,5,65,Restricción de Mob: Vindicador.
Exclusivas de Mob,relentless_charge_2,intermedio,"Durante su carga, es inmune a los efectos de Lentitud y gana un 50% de resistencia al empuje.",12,30,Restricción de Mob: Vindicador.
Exclusivas de Mob,relentless_charge_3,dificil,"Si su carga es interrumpida (ej. por un muro), entra en un estado de ""Furia Obstruida"", destruyendo bloques de madera cercanos (puertas, tablones) para alcanzar a su objetivo.",20,10,Restricción de Mob: Vindicador.
Exclusivas de Mob,relentless_pursuer_1,debil,Tiene un 50% de probabilidad de no ser ralentizado al recibir daño.,4,70,Restricción de Mob: Zombi.
Exclusivas de Mob,relentless_pursuer_2,intermedio,Puede destruir puertas de madera un 50% más rápido.,9,38,Restricción de Mob: Zombi.
Exclusivas de Mob,relentless_pursuer_3,dificil,"Puede realizar un ""Embestida"", una carga corta que le otorga inmunidad al empuje y le permite atravesar a otros mobs para alcanzar a su objetivo.",15,18,Restricción de Mob: Zombi. Tiene un cooldown interno de 8 segundos.
Exclusivas de Mob,relentless_pursuit_1,debil,Se mueve un 20% más rápido cuando persigue a un objetivo que tiene menos del 50% de su vida.,5,65,Restricción de Mob: Lobo.
Exclusivas de Mob,relentless_pursuit_2,intermedio,"Puede realizar un ""Salto Depredador"", un rápido salto de 6 bloques hacia adelante para cerrar la distancia con su objetivo.",9,38,Restricción de Mob: Lobo. Tiene un cooldown interno de 7 segundos.
Exclusivas de Mob,relentless_pursuit_3,dificil,"Si un jugador le da la espalda para huir, el lobo gana un 30% de velocidad de movimiento y su próximo ataque infligirá un 50% de daño adicional.",15,18,Restricción de Mob: Lobo.
Exclusivas de Mob,retractable_spikes_1,debil,Su ataque de espinas tiene un alcance un 25% mayor.,5,65,Restricción de Mob: Guardián.
Exclusivas de Mob,retractable_spikes_2,intermedio,Su ataque de espinas ahora también aplica Veneno I durante 4 segundos.,11,32,Restricción de Mob: Guardián.
Exclusivas de Mob,retractable_spikes_3,dificil,"Puede realizar una ""Descarga de Espinas"", lanzando 3 proyectiles de espinas en un cono que infligen 4 de daño y aplican Lentitud I.",18,14,Restricción de Mob: Guardián. Tiene un cooldown interno de 7 segundos.
Exclusivas de Mob,rift_skitter_1,debil,"Al ser golpeado, tiene un 30% de probabilidad de teletransportarse 2 bloques en una dirección aleatoria.",5,65,Restricción de Mob: Endermite.
Exclusivas de Mob,rift_skitter_2,intermedio,Puede teletransportarse directamente a la espalda del jugador antes de atacar.,10,35,Restricción de Mob: Endermite. Tiene un cooldown interno de 6 segundos.
Exclusivas de Mob,rift_skitter_3,dificil,"Al teletransportarse, deja una ""Grieta del Vacío"" temporal en su punto de origen. Si el jugador la pisa, recibe 2 de daño y Lentitud I por 2 segundos.",16,15,Restricción de Mob: Endermite.
Exclusivas de Mob,rime-caked_bones_1,debil,Sus ataques cuerpo a cuerpo (si el jugador se acerca) aplican Lentitud I por 2 segundos.,5,65,Restricción de Mob: Stray.
Exclusivas de Mob,rime-caked_bones_2,intermedio,"Emite un ""Aura Helada"" pasiva (radio de 3 bloques) que hace que los jugadores acumulen escarcha visualmente. Si permanecen en el aura por 5 segundos, reciben el efecto de Congelación por 1 segundo.",11,32,Restricción de Mob: Stray.
Exclusivas de Mob,rime-caked_bones_3,dificil,"Puede ""Exhalar Escarcha"", un ataque de aliento en cono (6 bloques) que inflige 4 de daño y aplica Lentitud II y Debilidad I durante 5 segundos.",18,14,Restricción de Mob: Stray. Tiene un cooldown interno de 10 segundos.
Exclusivas de Mob,riptide_strike_1,debil,Sus ataques cuerpo a cuerpo tienen un 20% de probabilidad de tirar del jugador 1 bloque hacia el delfín.,6,60,Restricción de Mob: Delfín.
Exclusivas de Mob,riptide_strike_2,intermedio,Sus ataques cuerpo a cuerpo tienen un 15% de probabilidad de crear una pequeña corriente que desorienta la cámara del jugador y lo empuja en una dirección aleatoria.,11,30,Restricción de Mob: Delfín.
Exclusivas de Mob,riptide_strike_3,dificil,"Puede canalizar durante 2 segundos para crear un ""Remolino"" a sus pies. El remolino dura 5 segundos, atrae a los jugadores en un radio de 5 bloques y les impide nadar hacia la superficie.",17,12,Restricción de Mob: Delfín. El delfín no puede atacar mientras canaliza.
Exclusivas de Mob,rolling_havoc_1,debil,"Cuando rueda (comportamiento juguetón), inflige 2 de daño a las entidades con las que choca.",6,60,Restricción de Mob: Panda.
Exclusivas de Mob,rolling_havoc_2,intermedio,"Puede iniciar una ""Rodada de Combate"" voluntariamente, rodando 8 bloques en línea recta. La rodada inflige 4 de daño y empuja a los enemigos.",11,30,Restricción de Mob: Panda. Tiene un cooldown interno de 8 segundos.
Exclusivas de Mob,rolling_havoc_3,dificil,"Su Rodada de Combate ahora es más larga (12 bloques) y, al terminar, el Panda realiza un ""Golpe de Vértigo"" que aplica Náuseas II por 4 segundos al objetivo más cercano.",17,12,Restricción de Mob: Panda.
Exclusivas de Mob,rotting_flesh_1,debil,"Al ser golpeado, tiene un 15% de probabilidad de soltar una nube de partículas malolientes que no hace nada.",3,75,Restricción de Mob: Zombi.
Exclusivas de Mob,rotting_flesh_2,intermedio,"Al ser golpeado, tiene un 15% de probabilidad de soltar una nube que aplica Náuseas I por 3 segundos al atacante.",8,45,Restricción de Mob: Zombi.
Exclusivas de Mob,rotting_flesh_3,dificil,"Al morir, deja un ""Miasma Pútrido"" en un radio de 4 bloques. Los jugadores dentro del miasma no pueden regenerar salud de forma natural (por la barra de hambre). Dura 8 segundos.",14,18,Restricción de Mob: Zombi.
Exclusivas de Mob,sacrificial_fury_1,debil,"Tras picar a un jugador, tiene un 50% de probabilidad de sobrevivir en lugar de morir.",7,55,Restricción de Mob: Abeja.
Exclusivas de Mob,sacrificial_fury_2,intermedio,"Tras picar, sobrevive garantizado pero queda con ""Alas Cansadas"", reduciendo su velocidad de movimiento en un 25% por el resto del combate.",12,25,Restricción de Mob: Abeja.
Exclusivas de Mob,sacrificial_fury_3,dificil,"Tras picar, sobrevive y entra en un estado de ""Furia Roja"", ganando un 25% de velocidad de ataque y un 15% de robo de vida en sus ataques cuerpo a cuerpo.",19,10,Restricción de Mob: Abeja. La abeja emite un brillo rojo tras picar.
Exclusivas de Mob,sandstorm_shroud_1,debil,"Cuando es golpeado, tiene un 25% de probabilidad de levantar una pequeña nube de arena que aplica Ceguera por 1 segundo al atacante.",6,60,Restricción de Mob: Husk.
Exclusivas de Mob,sandstorm_shroud_2,intermedio,"Puede crear un ""Vórtice de Arena"" a sus pies, otorgándole semi-transparencia y un 15% de velocidad de movimiento mientras esté dentro. El vórtice dura 5 segundos.",11,30,Restricción de Mob: Husk. Tiene un cooldown interno de 10 segundos.
Exclusivas de Mob,sandstorm_shroud_3,dificil,"Al morir, su cuerpo se deshace en una violenta tormenta de arena en un radio de 5 bloques. La tormenta dura 8 segundos, inflige 1 de daño por segundo y aplica Lentitud I a los jugadores dentro de ella.",17,12,Restricción de Mob: Husk. Incompatible con otras mutaciones On-Death.
Exclusivas de Mob,scent_of_blood_1,debil,"El lobo puede ""oler"" a los jugadores heridos, aplicando Resplandor (Glowing) por 2 segundos a cualquier jugador por debajo del 40% de vida en un radio de 20 bloques.",4,70,Restricción de Mob: Lobo.
Exclusivas de Mob,scent_of_blood_2,intermedio,Inflige un 25% de daño adicional a los objetivos que estén por debajo del 50% de su vida.,8,45,Restricción de Mob: Lobo.
Exclusivas de Mob,scent_of_blood_3,dificil,Gana un 15% de robo de vida en sus ataques contra objetivos que estén por debajo del 30% de su vida.,14,18,Restricción de Mob: Lobo. Incompatible con theft_of_life_.
Exclusivas de Mob,sculk_symbiosis_1,debil,Es inmune al daño de los bloques de magma y del fuego.,5,65,Restricción de Mob: Warden.
Exclusivas de Mob,sculk_symbiosis_2,intermedio,"Puede ""activar"" los Sensores de Sculk cercanos para que emitan un chillido, revelando la ubicación de los jugadores que los activen con Resplandor (Glowing).",12,30,Restricción de Mob: Warden.
Exclusivas de Mob,sculk_symbiosis_3,dificil,"Puede ""Consumir Sculk"". Absorbe los bloques de sculk cercanos para curarse 1 puntos de vida por bloque.",20,10,Restricción de Mob: Warden. Tiene un cooldown interno de 15 segundos.
Exclusivas de Mob,seismic_slam_1,debil,Sus ataques cuerpo a cuerpo causan una fuerte sacudida de cámara al objetivo.,7,55,Restricción de Mob: Golem de Hierro.
Exclusivas de Mob,seismic_slam_2,intermedio,"Puede realizar un ""Pisotón Pesado"", un ataque de área que inflige 5 de daño y aplica Lentitud II por 3 segundos a los jugadores en un radio de 4 bloques.",14,25,Restricción de Mob: Golem de Hierro. Tiene un cooldown interno de 8 segundos.
Exclusivas de Mob,seismic_slam_3,dificil,"Su Pisotón se convierte en un ""Rompetierra"". Crea una fisura en línea recta (8 bloques) que lanza a los jugadores por los aires e inflige 6 de daño.",22,8,Restricción de Mob: Golem de Hierro.
Exclusivas de Mob,self-repair_protocol_1,debil,"Si un jugador le lanza un lingote de hierro, lo ""absorbe"" y se cura 10 puntos de vida.",8,50,Restricción de Mob: Golem de Hierro.
Exclusivas de Mob,self-repair_protocol_2,intermedio,"Al ser golpeado, tiene un 10% de probabilidad de soltar una ""Placa de Hierro"". Si la recoge, se cura 6 puntos de vida.",15,22,Restricción de Mob: Golem de Hierro.
Exclusivas de Mob,self-repair_protocol_3,dificil,"Al morir, su cabeza cae al suelo. Si no es destruida en 8 segundos, un nuevo Golem de Hierro se reconstruirá a su alrededor con el 40% de la vida.",25,6,Restricción de Mob: Golem de Hierro.
Exclusivas de Mob,shadow_step_1,debil,Se mueve un 20% más rápido en niveles de luz inferiores a 8.,6,60,Restricción de Mob: Esqueleto Wither.
Exclusivas de Mob,shadow_step_2,intermedio,"Puede realizar un ""Paso Sombrío"", un corto teletransporte de 5 bloques para acercarse a su objetivo o esquivar un ataque.",13,28,Restricción de Mob: Esqueleto Wither. Tiene un cooldown interno de 8 segundos.
Exclusivas de Mob,shadow_step_3,dificil,"Puede crear un ""Manto de Sombras"" en un área de 10x10. Dentro del área, la luz se reduce drásticamente y todos los Esqueletos Wither ganan invisibilidad intermitente. Dura 8 segundos.",21,9,Restricción de Mob: Esqueleto Wither.
Exclusivas de Mob,shield_breaker_1,debil,Sus ataques infligen un 100% de daño de durabilidad adicional a los escudos.,6,60,Restricción de Mob: Vindicador.
Exclusivas de Mob,shield_breaker_2,intermedio,"Si un jugador bloquea su ataque, el Vindicador realiza un empujón instantáneo que desactiva el escudo por 2 segundos.",13,28,Restricción de Mob: Vindicador.
Exclusivas de Mob,shield_breaker_3,dificil,"Puede realizar un ""Golpe de Ruptura"". Es un ataque cargado que, si impacta en un escudo, lo rompe instantáneamente sin importar su durabilidad.",21,9,Restricción de Mob: Vindicador. El hacha del Vindicador brilla antes del golpe.
Exclusivas de Mob,shrapnel_1,debil,Su explosión lanza fragmentos de tierra y piedra que no infligen daño pero empujan a los jugadores.,5,65,Restricción de Mob: Creeper.
